commit_hash,tag_name,tag_message
091176a8e5ae5d44fb2bbd97cf18213cb3d3a269,0.0.9,tagging release 0.0.9
238148b8f01bcc89af7342522694951e86b78df4,0.0.8,tagging release 0.0.8
0021613b8ee6fc0389ae3302e91146e2448fa699,0.0.7,tagging release 0.0.7
0e3915ff34f07041410bee7713a098a544c2507b,0.0.6,tagging release 0.0.6
d7bfa5e018d975c9690628a46e506a1deac7a756,0.0.5,tagging release 0.0.5
c4d743d9c6743227d31bc38f2256494b2142c044,0.0.4,tagging release 0.0.4
4029f05a5e47b2d4506047e4742c1eb28a19bc64,0.0.3,tagging release 0.0.3
24a51996d6f9ab7c61ab2ee74b14181f08dbb074,0.0.2,tagging release 0.0.2
4ea4d2bcd4a752c2d484de61626de4074987b6c9,0.0.13,tagging release 0.0.13
cdafe8aff0f07002c7a962d2e2e48b2b4e1d70fd,0.0.12,tagging release 0.0.12
4a878f98f5fd542b312d070efa66d45613223abc,0.0.11,tagging release 0.0.11
61ddcf4442175cb4e34ddb655c80854bc429dec4,0.0.10,tagging release 0.0.10
fceacb75831e55e4414eff1aba307df87de10c49,0.0.1,tagging release 0.0.1
