commit_hash,branch_name
3f244351cf52a89f1b360b828b5c950b7ff21268,FEM-1108
6ac2e552abd5496f811457d8b6b38e8d935ec908,FEM-1134
649c0a8a2524be710b6eac3dac19fc73b65fdbda,FEM-1206
c75fbca50a107ca55235f8656a061e1063d50723,FEM-1346
9e9fdb1bcb660e532c02ac2279995ca30b6ef182,FEM-1497
e0624af2c3e106cdf061cad47c26f3830883d5f8,FEM-1497_merge
c5613591aa0a16b1fb508ec91687721b3913778e,FEM-1565
bc7975ba470802bbd121b6b1019390d80278fdc5,FEM-1763
b6468f8c8940cef99c6b0453e5970f3c299f30ce,FEM-1777
c2531f1853bc7b31fd40ab51df4c701a16fd1186,IMAExoPlugin
f135d3a2757d1aa4fccbc4a0195db59a593b428e,api-fixes
e9ddad53b1e8d44572dfd2c00f97b55b5121abfd,develop
e535b369271417a009c67bdcf0853ac99e15eed5,develop-netkit-version-update
6eb39883a999c3c8ef30bec4cfa47036691235e8,dragging_player
c0727ad941238a6ba609772a1ac5e81662bb796a,featura/develop-dependencies
4527e9264e2b70bf2e583c74fba9a2906b076252,feature/media
39f7218cd757a90d4ec07981c0c98f7aa2e18594,feature/mediago-ps-kcp
ee7151c270e7a261badbafe1035653075f8ef826,feature/netkit-1344
17ef260f24bd9831d3a178ae63d98be6f39f1926,feature/netkit-ima
6387e6515235411ba99a487dc237dfcea689aa10,feature/ott-providers
6fb02f11061f9f07b982ae1ed9bd9d5a19ebb5b5,master
ca5a7463865b2063e130f90b318692e656f40b9c,release/0.3.1
79b083d2ac8f0cff1b37615e648f102a62fc3a03,release/0.3.2
58b42ce704cc4d7b29a5926b837b319ff610c3d4,release/0.3.3
1ffe64235bf6501d2b624cccbf53fdced78bebef,release/0.3.x
96998877a12d1cd7319b48f30416c958a24ebe80,release/v1.1.8
c4dfcc8ef001c4f8006957b97413c7656c35d5cb,release/v3.0.0
cb5b09c343a858cc5fedd3f95d252ebdabc3a2c2,release/v3.0.x
3cf43fb8900f4fec92313865b02530eff8d1d9cb,release/v3.1.2
be9fbcd5ba046a7b7cd8957ab4001baace71a32b,release/v3.1.x
fe4af96ca124a813b9c0587925bf310f0176335b,release/v3.2.1
80e4c93de6f993d9af9eadd85527c9ac9eadea1d,release/v3.2.2
fe23ee00e80df74f3c2bf10dd972e0a966a2b36b,release/v3.2.3
34641aa7e81db795967ce058dc4496c40c033c01,release/v3.2.x
5a9733f00fb4e5cc5068d7e352fcc40a547d5afb,release/v3.3.0
90a398253b8ee7d2a3ad9d5198647d65e88e246c,support_for_offline_clear
c255d2edd8416512d25aa9d7c19e2989cd9925a0,v3.0.x
ecae2bd4e1c586de399bb12cea01ecb5f1331c42,v3.2.0
4114b707f79e27a58af88ea96a47572442558584,widevine_classic_offline
